,B01001_002E,B01001_004E,B01001_005E,B01001_006E,B01001_007E,B01001_008E,B01001_009E,B01001_010E,B01001_011E,B01001_012E,B01001_013E,B01001_014E,B01001_015E,B01001_016E,B01001_017E,B01001_018E,B01001_019E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_026E,B01001_028E,B01001_029E,B01001_030E,B01001_031E,B01001_032E,B01001_033E,B01001_034E,B01001_035E,B01001_036E,B01001_037E,B01001_038E,B01001_039E,B01001_040E,B01001_041E,B01001_042E,B01001_043E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,B01003_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B03003_002E,B03003_003E,B05002_002E,B05002_003E,B05002_004E,B05002_009E,B05002_013E,B06009_001E,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,B07001_017E,B07001_033E,B07001_049E,B07001_065E,B07001_081E,B08101_001E,B08101_025E,B08101_033E,B08101_049E,B14001_002E,B14001_008E,B14001_009E,B15002_001E,B15002_015E,B15002_016E,B15002_017E,B15002_018E,B15002_032E,B15002_033E,B15002_034E,B15002_035E,B17001_002E,B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,B19013_001E,B19081_001E,B19081_002E,B19081_003E,B19081_004E,B19081_005E,B19081_006E,B21001_002E,B21001_003E,B23025_001E,B23025_002E,B23025_003E,B23025_004E,B23025_005E,B23025_006E,B23025_007E,B24020_001E,B24020_112E,B24020_131E,B24020_263E,B24020_282E,B25001_001E,B25002_002E,B25002_003E,B25003_001E,B25003_002E,B25003_003E,B25027_001E,B25027_002E,B25027_010E,B25063_001E,B25064_001E,B25075_001E,B25075_002E,B25075_003E,B25075_004E,B25075_005E,B25075_006E,B25075_007E,B25075_008E,B25075_009E,B25075_010E,B25075_011E,B25075_012E,B25075_013E,B25075_014E,B25075_015E,B25075_016E,B25075_017E,B25075_018E,B25075_019E,B25075_020E,B25075_021E,B25075_022E,B25075_023E,B25075_024E,B25075_025E,B25088_001E,year
IN-05,402660,26693,33224,18861,11659,5129,4260,13486,23310,27537,28145,30099,29285,30102,26908,8237,13535,7038,7738,10170,7843,6070,4506,422586,29222,29771,17809,10181,4707,4497,14248,27210,27500,27047,32170,30392,32999,27119,10300,11965,5812,9893,13741,9703,9898,10435,825246,739002,34606,1775,21453,35,10886,17489,794698,30548,782558,568848,208182,5528,42688,546707,44932,153197,145063,133430,70085,714911,53644,32060,12605,1550,395418,1279,5570,15250,227049,44079,10173,546707,68407,21048,8701,3850,65023,29067,3696,3723,71369,316411,14880,13820,13923,12508,15822,18273,14054,15050,12746,28256,36125,45083,29886,15039,14374,16572,59364,15403,37039,59543,88740,190090,341632,57432,556121,639285,435793,434472,400029,34443,1321,203492,280484,16989,26562,1464,8180,339207,316411,22796,316411,234186,82225,234186,175651,58535,82225,766,234186,2551,2000,837,972,1352,966,1360,3314,6246,6610,7459,8532,9578,31406,30713,28894,16347,26403,14593,16546,6906,7887,859,1855,1052,2011
IN-06,336898,21091,24831,14970,11121,4502,5772,14962,19717,19717,21728,22430,23772,24382,21951,7859,11889,6255,7887,11986,7972,6810,4158,343799,23501,20823,13260,11082,7121,4919,12547,18111,18686,19500,21864,23063,24964,22613,9502,12597,6471,10522,12121,10651,9441,10122,680697,631455,20864,868,4602,0,5464,17444,662298,18399,669639,506000,161113,2526,11058,448741,62380,184382,123270,48395,30314,563489,68939,25518,14472,1079,283884,949,7474,9274,180589,47067,5888,448741,21828,10396,2568,2263,26567,12560,1060,1467,116674,259912,22535,18304,18402,19487,15819,15606,15109,14194,13590,23686,26391,27064,14777,6161,4342,4445,41607,10059,24989,41645,62799,131935,232028,52159,468002,539895,325009,324403,288378,36025,606,214886,184677,18817,32019,559,9026,294311,259912,34399,259912,186861,73051,186861,119604,67257,73051,630,186861,5132,2802,2411,2142,2595,2988,2379,8186,9881,13048,14567,15848,12110,21941,18239,15697,8106,11493,7113,5688,1917,1702,342,534,735,2011
IN-07,324303,24335,22406,13326,9321,4612,3690,17213,29129,24558,18957,22095,22520,22974,18526,6722,8159,4551,5965,6540,4515,3974,2590,347233,20592,21616,12901,9806,5999,6611,16530,29783,25521,22253,21165,24294,22954,22536,6735,10606,5642,6442,9942,6476,5967,6974,671536,391438,215097,943,9247,101,34731,19979,596789,74747,616978,457685,154853,4440,54558,429065,76125,138120,122184,60210,32426,529774,94612,21326,12423,3292,286979,7934,8619,6343,180692,42383,9065,429065,29397,9965,3881,1567,30813,12981,2363,1669,164716,264762,30999,20014,20214,23778,17038,20290,17715,13322,10849,21045,22490,23008,10598,5342,4829,3231,35012,7932,21527,34998,55088,120772,210444,41679,460893,520646,342842,342567,294022,48545,275,177804,194755,14747,26206,418,7420,318047,264762,53285,264762,133473,131289,133473,97257,36216,131289,722,133473,2170,1424,983,1175,1278,1554,1363,6086,6794,8070,10842,13265,10689,21985,13271,10571,6814,6371,2304,3697,921,694,339,813,867,2011
IN-08,344730,23323,21756,13649,11632,4801,6787,13714,22711,21946,20966,22112,24577,26011,23654,9334,11499,6198,8716,11243,8314,4942,4337,351003,20586,21403,13938,10227,6542,5953,12821,20356,19978,19609,22447,24469,26101,25173,9676,11719,5422,9676,14023,10275,8602,11001,695733,641837,29024,1035,6917,114,4618,12188,683821,11912,682276,527302,152071,2903,13457,465087,58946,180747,140007,55254,30133,595544,51412,28039,10743,1321,309233,2425,7860,8638,167558,42967,4795,465087,24821,9319,2498,2120,30433,13689,1726,781,96258,261326,19584,16675,15340,15934,16507,16563,14393,14645,13490,23993,29471,31247,14882,8290,6061,4251,45310,11341,28072,45319,68056,130522,208580,52510,484739,555509,341084,340769,312362,28407,315,214425,214215,23592,37511,752,10052,303616,261326,42290,261326,189360,71966,189360,120043,69317,71966,656,189360,4295,3200,1627,2588,1961,3360,3138,7170,10905,12685,13545,14688,13164,24294,18220,18485,9366,12178,5999,4720,1848,1031,479,414,742,2011
IN-09,359774,23019,23044,15224,13396,8792,5628,17106,23886,23963,21585,23201,25018,26427,25481,8211,12171,6250,9514,10093,8598,4452,3765,369457,22383,25183,13418,11977,7482,9439,14447,22563,20125,20396,23738,26366,27476,24890,9341,13091,6969,11661,11514,8050,9205,8918,729231,677154,18133,1230,12493,0,8603,11618,707156,22075,703805,457100,242955,3750,25426,476918,64662,183634,134654,54971,38997,606495,64971,27615,19586,2193,326829,4088,8966,9117,204057,57945,11591,476918,27792,12704,1973,3810,27179,16066,1843,2601,112046,276971,25826,19552,17155,17426,15404,14964,16150,12226,12868,24481,33453,31903,18546,7165,4875,4977,44885,9624,26077,44757,68044,132081,219918,55927,508908,584536,369040,368690,332751,35939,350,215496,219430,21438,36883,642,12301,317026,276971,40055,276971,195445,81526,195445,129062,66383,81526,703,195445,4037,2625,2194,1962,1441,1324,1330,5034,5510,7246,9361,14788,13215,27208,22093,21335,12289,16790,9835,9145,2701,2746,472,764,826,2011
IA-01,293328,18227,20200,11877,10050,3559,3682,13253,19763,16995,15863,18920,20792,22002,19003,8318,12252,4359,8400,9121,6559,5395,5462,304570,18811,19358,11236,9464,6528,4393,11394,18522,17737,16366,18907,19843,22996,21138,7818,10538,5320,7736,11163,8984,8758,9985,597898,544886,29216,1635,7876,488,2877,10920,578405,19493,581893,450588,128573,2732,16005,399015,37089,138730,124165,66310,32721,508038,46252,18650,15267,3271,294958,1371,10505,10777,156546,39046,7317,399015,30887,9200,3828,1582,35423,14491,2150,1470,72530,239446,16310,14175,12283,12811,13818,15975,13153,14154,10857,21663,26658,31328,17591,7340,5636,5694,48204,12228,30411,48117,72811,143284,241966,45723,415338,476994,320316,320039,299830,20209,277,156678,202535,21376,29367,428,6943,260056,239446,20610,239446,173568,65878,173568,108196,65372,65878,627,173568,2382,2076,1211,1400,1210,1420,1412,3897,5427,6674,8689,11387,11249,23702,20749,18902,12094,15451,9434,8820,2915,2046,466,555,826,2011
IA-02,309954,20396,20061,11856,9641,5863,5200,16969,21434,20857,17711,19921,21960,21682,21449,7314,10058,5688,6309,9217,6650,5155,4447,316274,19555,19590,12429,10558,7137,6300,12253,20157,19403,17155,19424,20587,22218,20322,7763,11194,5108,7825,11164,7905,8727,9318,626228,565763,18999,1545,14466,0,9502,15953,596548,29680,597933,445271,149330,3332,28295,408122,34881,124538,130879,75319,42505,511893,59909,25570,19042,3314,313438,6849,13628,12972,175169,52755,9470,408122,34060,12735,6138,3821,41259,13246,3570,2995,88676,251572,17636,16274,14177,12904,14547,12750,13090,11959,12206,23214,27290,33792,18778,8327,8055,6573,50095,11727,30014,50062,75186,149921,253449,47261,434338,499427,339362,338918,318266,20652,444,160065,215275,18874,31069,859,8965,274547,251572,22975,251572,179002,72570,179002,114966,64036,72570,659,179002,3703,2663,2905,3192,1871,2043,2480,4723,5853,6760,8919,9694,8048,22630,20243,18481,11198,17562,10744,8607,2992,1879,563,1249,865,2011
IA-03,318463,23494,23247,13117,9662,3403,4347,12034,22475,22899,22906,20144,22457,22542,18625,8181,10446,5096,6715,8619,6783,4396,4050,330568,21699,22396,12566,8334,4711,4106,11566,23719,22810,20020,22728,22334,22597,21005,7373,11214,5944,7573,9715,8562,7599,9061,649031,576547,27776,4135,18005,155,9459,12954,612227,36804,607587,471255,133013,3319,41444,428588,37770,128976,128601,94492,38749,545538,56731,22232,12065,3541,319068,2745,7081,15079,166841,32137,7559,428588,46645,12780,4128,2035,47847,15070,2547,2189,74899,250999,15631,11060,11015,15207,13993,14021,13183,12977,8819,22809,29231,33353,21945,10733,10784,6238,53118,13411,32768,53677,80366,158273,262383,42167,444168,503729,349864,349448,325165,24283,416,153865,229489,16941,22593,790,5535,276198,250999,25199,250999,179669,71330,179669,124198,55471,71330,708,179669,1736,2552,1315,1292,1086,1285,1221,2604,4284,6297,7734,10198,8545,27372,21739,21707,14416,19102,11863,7710,2312,1860,618,821,1008,2011
IA-04,305453,19051,21078,12763,10663,5624,6821,12773,19186,19181,17399,17158,21129,21668,19819,8753,10964,4946,6617,10436,7812,6550,5746,307101,17665,19712,12548,9212,4301,5646,13304,18123,17624,16093,16895,20490,21826,20610,7922,10798,4554,6913,13506,9233,9806,11961,612554,576005,6895,1367,10100,95,7894,10198,584919,27635,589811,457638,129582,2591,22743,403718,36756,134346,132386,70433,29797,512265,43792,36335,11980,2351,302275,4286,12791,14409,167605,47617,6932,403718,32619,8070,3023,3425,37814,11956,2121,1202,73598,246411,16675,15344,15130,14350,13492,15206,11956,14906,10489,21209,27160,29391,17042,9416,8049,6596,47562,11799,29299,47977,73377,146911,238722,46122,425770,488715,326267,326097,306938,19159,170,162448,204431,21425,28996,576,6787,272960,246411,26549,246411,178780,67631,178780,105215,73565,67631,621,178780,2781,1757,1660,3013,2266,3454,2094,7018,8515,10152,10172,12161,8645,24952,15168,16729,10604,14365,9421,7066,3110,2384,628,665,753,2011
IA-05,285053,20877,19089,12519,9385,3568,3306,8880,17013,16765,15931,16447,19532,22709,21393,8351,9625,4983,7093,9558,7647,6757,5114,291545,20625,17302,12310,7393,4309,2399,9261,15705,16462,14934,16638,19332,21840,20830,7057,9952,5266,7421,11969,11088,8782,11564,576598,537611,5372,3327,5593,272,13560,10863,536969,39629,551538,394904,155120,1514,25060,387758,43593,143513,127879,51497,21276,495579,45117,15966,12051,969,283319,1247,9015,16535,143702,26303,3647,387758,23644,6865,2923,958,27853,9068,951,511,69161,228337,15094,15524,13610,14156,13726,13675,13162,12114,10537,20206,27420,26538,14881,6663,6116,4915,46399,11874,28509,46489,69945,141571,242635,45464,390540,452146,303157,302902,288557,14345,255,148989,199691,24636,30156,826,7134,256827,228337,28490,228337,169349,58988,169349,95337,74012,58988,583,169349,2634,1677,1787,2674,2749,3607,2785,7686,9674,10547,10541,13905,11513,22407,13072,13757,7765,11810,6302,6407,2430,1886,1013,721,688,2011
KS-01,328484,21999,24417,14332,9704,5325,5545,13001,20849,18143,18106,20284,21086,24689,23409,8131,11444,5582,7915,10234,8331,6863,6564,330287,21951,23365,12865,10076,4354,4084,11797,19178,17515,18305,18316,21072,24113,20465,7397,11900,5829,7348,13199,12174,9131,11762,658771,587770,17680,4515,7786,584,24345,16091,560466,98305,609976,436016,167836,6124,48795,429334,59515,134211,145994,61735,27879,549181,54991,28267,13608,4130,319255,515,10445,14887,170216,34200,5081,429334,28243,8388,3562,1834,33492,12123,1240,732,86363,257061,15326,18303,16306,17810,17081,16963,15149,17155,12979,23642,26496,29036,14883,6344,4730,4858,43116,12149,27573,43533,65294,132906,229570,48965,441685,511402,344285,341715,321983,19732,2570,167117,231054,34029,34650,1277,8053,295531,257061,38470,257061,179936,77125,179936,95087,84849,77125,597,179936,5847,3787,3893,4602,3886,5530,4061,9540,11806,13194,12304,11577,10016,22197,13217,14564,8712,8071,5679,3905,1118,1536,291,603,669,2011
KS-02,358969,23562,25952,15674,12927,5894,8136,18739,24258,22740,19130,22608,24005,24956,24137,8558,11229,6110,8860,9460,9383,5259,3577,355779,23454,21614,13241,11374,7021,6604,15758,22288,20178,19807,20444,24156,27126,24054,8070,11832,6082,8646,12241,9696,9639,10198,714748,628436,35951,7487,10615,513,7041,24705,672423,42325,689421,445368,237517,6536,25327,458727,37869,151424,144282,77764,47388,585506,66171,29165,21454,3858,334252,912,9259,15576,206491,59030,12730,458727,34436,16053,4402,3952,43328,18269,2464,2248,101136,271552,23108,14832,15530,15359,16578,17579,14309,14763,13073,23340,26613,31937,22053,9924,7312,5242,46309,10845,28562,46490,72547,141108,226875,61585,473900,563150,365628,355933,330394,25539,9695,197522,224950,25452,26052,359,5005,308133,271552,36581,271552,180706,90846,180706,107703,73003,90846,707,180706,3197,2923,2840,2714,2927,3399,3198,7339,8710,10762,10103,8929,7281,20808,16549,18699,10459,16331,9513,8694,2121,2338,644,228,801,2011
KS-03,380722,27609,28850,16461,11738,5825,6787,15861,28056,28247,24310,28781,26330,25532,23163,7854,11213,5308,6590,8704,5845,5157,3966,395595,25420,28416,15498,11509,4346,5280,16807,29589,28319,26953,26199,27996,27907,24733,9129,12771,5925,7458,10563,7349,7431,8704,776317,632434,66644,4676,28754,32,20825,22952,690020,86297,700724,340971,353844,5909,75593,500082,37934,98165,144507,142906,76570,644637,67238,16002,32414,4698,394886,3014,6612,19527,225851,54890,14019,500082,69392,26045,9346,3713,73514,29928,4708,2830,89099,298655,17384,11349,13335,14268,16396,11963,13214,14868,12983,24564,32852,38578,25899,16920,17533,16549,59500,14339,36465,59417,91717,198535,347537,47106,530571,599161,435374,434816,402896,31920,558,163787,281939,17943,17645,1234,6191,323586,298655,24931,298655,199307,99348,199307,147836,51471,99348,837,199307,1589,1441,1525,720,878,1136,1460,1502,2424,3109,4656,4957,4607,14734,19859,25306,21975,30212,20075,18204,6945,7976,2569,1448,1309,2011
KS-04,355013,27606,25898,15314,10065,3761,3917,16001,25210,22857,20135,22644,24407,25249,24731,7618,10813,5817,7232,9787,8066,5094,5252,366389,26689,25330,14856,10439,3413,4821,15822,24495,22623,21970,21055,24254,26622,24348,9075,10969,6540,8848,10306,9811,8335,9788,721402,593891,47394,7152,20080,513,19581,32791,641523,79879,672350,472798,193771,5781,49052,463951,49404,132683,157999,83136,40729,592709,80841,20107,16164,2443,331139,686,5865,9441,199040,42168,8883,463951,39337,12863,3868,3198,43799,17526,1911,1363,106869,274433,18688,15108,17602,17687,15690,15655,15566,14328,12060,22306,32040,36350,20838,7989,6762,5764,47499,12141,29179,47868,73249,137276,223384,52584,476400,552038,371381,368175,333765,34410,3206,180657,231804,24433,28875,2457,6458,310488,274433,36055,274433,187130,87303,187130,122294,64836,87303,675,187130,3019,2444,1773,2504,2301,2880,2402,6894,8223,11060,10968,14063,10241,23063,23210,18089,9625,12133,8069,7547,2828,2355,675,764,891,2011
KY-01,335635,22339,21293,13420,10080,5050,4087,13347,21726,22007,18852,22288,23523,24012,21824,9206,13336,7686,9820,12240,9029,5340,3811,350379,23572,20034,12894,8992,4979,4119,11626,21453,20864,19018,21903,23969,26465,23587,8471,13638,7530,11390,14057,11564,7620,10245,686014,618810,49163,1114,3376,47,2873,10631,669406,16608,673895,473897,195780,4218,12119,466474,84762,179648,134736,40669,26659,585360,49406,20282,21448,3466,267700,1010,3824,6991,163326,34525,4789,466474,19546,7258,2912,1252,21123,12752,1894,591,133184,266727,29105,23603,19190,19282,18662,16760,14412,14379,15606,22035,25340,23528,12697,4568,4265,3295,37203,8702,21902,37402,57442,114803,185566,52802,469319,545676,305328,298695,269121,29574,6633,240348,187350,22770,32611,571,8583,318107,266727,51380,266727,191721,75006,191721,101857,89864,75006,561,191721,4814,3087,3463,3431,4976,5435,3643,11375,10941,13312,16319,14331,11389,23107,13279,14518,8301,9402,6644,5011,1401,1602,660,1280,589,2011
KY-02,380291,27683,27012,17912,10949,6298,7688,13432,23972,23837,23018,26998,28817,27431,27039,7637,12327,7370,8655,10742,7558,4873,3707,392943,27024,25486,15955,13072,6272,4506,14467,23674,25416,24947,24178,29001,28794,26410,8129,13720,7297,10309,12828,9703,7982,8193,773234,689889,46253,2624,8325,373,8853,16917,745827,27407,749377,557042,182469,9866,23857,504562,81792,196500,139303,50255,36712,643172,67350,30811,19776,2048,336671,1481,6947,9346,205926,44588,7949,504562,23985,11327,2456,2276,26270,17044,2307,1302,126955,283309,25531,21831,17316,19346,14328,17568,16563,15275,12585,22375,28644,35020,17070,9560,5351,4946,42804,9915,25630,43270,68102,136709,232754,64306,511195,602481,382779,377034,338811,38223,5745,219702,231666,25658,36460,1026,13571,326205,283309,42896,283309,201495,81814,201495,126157,75338,81814,632,201495,3771,3646,2992,2445,1879,2965,1865,6582,8152,9789,11603,12176,11579,27427,20111,19284,13417,16329,10959,8708,1692,2682,634,808,752,2011
KY-03,349238,22945,23552,13795,8858,5335,5059,13726,25850,24449,23761,21627,25112,26795,22638,8234,12448,7792,7319,7942,7357,6807,3823,375138,22424,22407,13714,8364,5006,5847,13459,26405,24419,24088,24206,25300,28313,25961,9808,13795,5937,9436,12746,10925,9726,10362,724376,528531,150504,1658,16623,88,8164,18808,693429,30947,677788,502920,170081,4787,46588,493381,58342,139345,147747,85049,62898,615284,71886,8973,15838,3172,325701,9977,7101,9771,188454,43422,13370,493381,38486,19216,8124,3512,46563,24053,4970,3023,122132,290493,25849,17997,19009,17924,17434,16956,15269,14060,12787,22368,28856,29884,18140,11986,10212,11762,45261,10225,26718,45450,72911,168930,300495,51298,507276,577125,376512,376051,331048,45003,461,200613,227250,14750,27636,906,8233,329433,290493,38940,290493,184920,105573,184920,126550,58370,105573,690,184920,2002,1146,1430,1020,943,1017,615,2071,3758,4006,4817,7770,11349,27251,24755,20448,13389,18900,12731,13932,4739,3849,1466,1516,964,2011
KY-04,371453,26441,28244,16175,8914,4764,4836,14445,22193,24647,23458,27879,28226,28562,24534,7792,13411,5916,9564,10737,7044,4775,3200,375525,25633,25549,15234,9087,4439,5090,11751,21780,24715,24273,27062,27862,28787,24154,8803,15176,6389,9746,12902,8600,7868,7622,746978,695146,24300,2645,6759,0,8830,9298,728285,18693,727339,475495,246663,5181,19639,497677,69804,168789,146253,71115,41716,645442,44751,25643,20435,2512,326647,3091,6280,10367,200773,40484,7755,497677,35644,13060,4317,1744,35471,18605,2331,1659,110314,273118,22421,15839,16144,18185,14273,12178,12863,14588,12902,23219,29857,31205,21436,12098,9941,5969,48793,10894,28703,49077,75207,149777,240540,52823,507730,581785,364060,363610,332987,30623,450,217725,224317,21534,29392,702,5608,314413,273118,41295,273118,200683,72435,200683,133228,67455,72435,666,200683,4886,2057,2489,2688,1793,2824,1797,4394,7053,7487,8668,10032,8719,23589,24305,19576,13852,20428,13649,10851,3703,3624,1076,1143,898,2011
KY-05,333986,22796,21200,13384,10138,4327,4277,12962,20462,21246,22523,23107,23518,24768,21785,10203,13251,7861,6706,12193,9034,4333,2543,336819,19952,21089,12165,8250,4754,4096,11177,20260,20846,21263,23265,24378,25020,24142,10229,12326,6305,10117,13256,10584,6580,6920,670805,648697,9262,531,1582,177,2171,8385,664458,6347,666606,529675,135559,1372,4199,459024,131330,166156,108976,27914,24648,589248,41668,18350,12253,602,209626,976,3488,4818,153711,28218,4367,459024,13877,5903,2949,944,14037,12113,1941,798,179659,256464,44002,27200,25962,16822,18303,15992,11544,10972,10336,17298,19459,19512,9650,4514,2622,2276,28647,6661,16077,28877,49624,105074,167882,38078,480735,535743,245276,245084,214975,30109,192,290467,147882,20130,22137,408,3769,305380,256464,48916,256464,181035,75429,181035,78488,102547,75429,528,181035,11380,6313,5591,8075,6347,7258,5132,10258,12852,12777,13329,11443,7711,16921,12029,9863,5481,7010,4961,2380,1101,1527,265,1031,437,2011
KY-06,373142,22916,24490,16062,13360,7442,6042,20259,24829,25827,24732,26322,26481,26456,22115,9995,12312,6718,6572,10704,7128,4519,3674,394807,25481,22454,13175,14854,10269,6362,15494,26627,27147,24792,24612,27713,28260,26006,9354,14207,7318,9492,12314,8395,7601,9010,767949,656532,69296,1090,13759,44,11020,16208,736443,31506,733918,524916,203200,5802,34031,501232,68984,146491,137367,84973,63417,607726,87068,39553,20281,2493,345122,4374,10765,11439,215518,67865,12047,501232,43211,15906,6890,6317,41762,25806,5169,3329,139033,302023,33904,20289,18130,17355,14380,18269,16008,15801,15200,21482,29968,32128,20892,11279,7875,9063,43754,8695,25270,43820,70508,155880,277844,51766,542985,613788,392197,391634,351459,40175,563,221591,232944,17850,26361,662,7801,339193,302023,37170,302023,191625,110398,191625,130226,61399,110398,652,191625,3287,3030,1962,1400,1357,1947,1380,2185,3763,5102,6633,6973,9094,23062,27016,21411,14902,18443,12735,13066,4781,5173,872,2051,922,2011
LA-01,338957,20445,25515,13952,9017,3018,4478,12304,23055,24974,20629,23836,23425,25886,24192,8061,11957,7108,7831,9664,6446,5766,3732,354139,21979,22092,12267,9121,3788,6032,12331,24790,23223,21056,21726,24327,26009,25682,8534,13788,5578,8580,14028,9378,9322,8129,693096,545213,108711,2130,13718,82,12007,11235,639029,54067,648672,504931,138960,4781,44424,470712,62003,133938,141305,88003,45463,585661,53764,24302,18762,2568,312509,1906,5815,9003,176577,37010,8495,470712,41927,11863,7529,2550,46076,17754,4197,1570,107572,265966,24776,14764,14061,14597,14954,14607,12150,11961,12256,19950,23886,32465,21410,11073,11818,11238,49562,10089,28787,49868,80916,177051,315536,53078,476848,549903,348909,348034,319882,28152,875,200994,224331,27295,20249,648,1807,299733,265966,33767,265966,182875,83091,182875,109094,73781,83091,849,182875,3663,1541,2900,2053,1591,917,1614,2053,2801,3605,3099,5061,5567,12188,15837,20006,16694,26511,20604,18270,7298,5942,1683,1377,953,2011
